,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000039,0.000041,0.000039,0.000040,0.000039,0.000040,0.000040,0.000041,0.000036,0.000036
All,deaths_total_rel,0.000000,0.048368,-0.013753,0.012937,-0.017949,0.028205,0.026573,0.036946,-0.077972,-0.083800
Elder_Ratio,deaths_gini_abs,0.315207,0.316714,0.277441,0.312062,0.320146,0.308165,0.310782,0.316427,0.276542,0.282507
Elder_Ratio,deaths_gini_rel,0.000000,0.004779,-0.119814,-0.009978,0.015670,-0.022342,-0.014038,0.003871,-0.122667,-0.103742
Mean_Household_Income,deaths_gini_abs,0.086071,0.074212,0.080800,0.047547,0.090941,0.080639,0.059050,0.085875,0.064392,0.087829
Mean_Household_Income,deaths_gini_rel,0.000000,-0.137772,-0.061234,-0.447579,0.056587,-0.063109,-0.313938,-0.002269,-0.251870,0.020427
EW_Ratio,deaths_gini_abs,0.128207,0.130472,0.116628,0.125148,0.096397,0.129161,0.129818,0.122242,0.099005,0.107910
EW_Ratio,deaths_gini_rel,0.000000,0.017670,-0.090317,-0.023857,-0.248112,0.007444,0.012571,-0.046524,-0.227770,-0.158316
Minority_Ratio,deaths_gini_abs,0.104130,0.109108,0.085782,0.133975,0.096944,0.092880,0.124867,0.104029,0.096715,0.080989
Minority_Ratio,deaths_gini_rel,0.000000,0.047805,-0.176201,0.286617,-0.069009,-0.108039,0.199145,-0.000970,-0.071202,-0.222227
