,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000490,0.000498,0.000487,0.000491,0.000492,0.000491
All,deaths_total_rel,0.000000,0.016918,-0.005774,0.001537,0.003105,0.001861
Elder_Ratio,deaths_gini_abs,0.127885,0.130730,0.117299,0.129941,0.128554,0.135579
Elder_Ratio,deaths_gini_rel,0.000000,0.022247,-0.082778,0.016084,0.005231,0.060167
Mean_Household_Income,deaths_gini_abs,0.474370,0.469877,0.476962,0.465779,0.471535,0.469192
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009471,0.005466,-0.018109,-0.005976,-0.010914
EW_Ratio,deaths_gini_abs,0.321891,0.319482,0.322394,0.315937,0.313987,0.321834
EW_Ratio,deaths_gini_rel,0.000000,-0.007486,0.001561,-0.018499,-0.024555,-0.000177
Minority_Ratio,deaths_gini_abs,0.406814,0.401303,0.407592,0.395918,0.400923,0.395205
Minority_Ratio,deaths_gini_rel,0.000000,-0.013546,0.001913,-0.026784,-0.014480,-0.028537
