,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000107,0.000106,0.000100,0.000103,0.000105,0.000104,0.000102,0.000103,0.000095,0.000099
All,deaths_total_rel,0.000000,-0.011559,-0.061202,-0.035307,-0.018097,-0.028750,-0.045901,-0.038497,-0.112282,-0.068822
Elder_Ratio,deaths_gini_abs,0.230873,0.230521,0.198464,0.234165,0.223703,0.218813,0.229025,0.230316,0.193904,0.206027
Elder_Ratio,deaths_gini_rel,0.000000,-0.001528,-0.140378,0.014256,-0.031058,-0.052238,-0.008006,-0.002412,-0.160128,-0.107620
Mean_Household_Income,deaths_gini_abs,0.120154,0.114314,0.123148,0.093291,0.118642,0.129690,0.087968,0.092537,0.095940,0.114680
Mean_Household_Income,deaths_gini_rel,0.000000,-0.048609,0.024918,-0.223576,-0.012589,0.079364,-0.267872,-0.229849,-0.201529,-0.045557
EW_Ratio,deaths_gini_abs,0.065892,0.068263,0.061920,0.047315,0.053475,0.069254,0.052318,0.055255,0.032331,0.078596
EW_Ratio,deaths_gini_rel,0.000000,0.035973,-0.060291,-0.281932,-0.188448,0.051010,-0.206005,-0.161441,-0.509333,0.192792
Minority_Ratio,deaths_gini_abs,0.059840,0.055957,0.043968,0.056701,0.051026,0.040420,0.070678,0.066508,0.047605,0.050390
Minority_Ratio,deaths_gini_rel,0.000000,-0.064899,-0.265251,-0.052458,-0.147301,-0.324529,0.181116,0.111421,-0.204463,-0.157926
