,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000047,0.000048,0.000044,0.000047,0.000046,0.000046,0.000049,0.000047,0.000043,0.000042
All,deaths_total_rel,0.000000,0.024187,-0.059556,-0.013006,-0.036479,-0.030214,0.028549,-0.000714,-0.098255,-0.108010
Elder_Ratio,deaths_gini_abs,0.346735,0.341207,0.314715,0.339743,0.353960,0.333753,0.347422,0.346924,0.304392,0.295374
Elder_Ratio,deaths_gini_rel,0.000000,-0.015941,-0.092346,-0.020164,0.020837,-0.037439,0.001981,0.000547,-0.122119,-0.148126
Mean_Household_Income,deaths_gini_abs,0.120756,0.125455,0.112416,0.095319,0.127170,0.115199,0.130984,0.123818,0.082877,0.101908
Mean_Household_Income,deaths_gini_rel,0.000000,0.038912,-0.069070,-0.210654,0.053114,-0.046019,0.084692,0.025353,-0.313686,-0.156090
EW_Ratio,deaths_gini_abs,0.120965,0.120723,0.126644,0.126582,0.102927,0.126323,0.129278,0.125912,0.095484,0.123330
EW_Ratio,deaths_gini_rel,0.000000,-0.002005,0.046943,0.046432,-0.149120,0.044296,0.068719,0.040892,-0.210652,0.019552
Minority_Ratio,deaths_gini_abs,0.204596,0.205993,0.186795,0.197251,0.211239,0.186317,0.210998,0.208794,0.185199,0.165758
Minority_Ratio,deaths_gini_rel,0.000000,0.006829,-0.087002,-0.035899,0.032470,-0.089340,0.031294,0.020519,-0.094807,-0.189829
