,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000107,0.000096,0.000088,0.000089,0.000095,0.000096,0.000099,0.000094,0.000080,0.000080
All,deaths_total_rel,0.000000,-0.097769,-0.173227,-0.165863,-0.110155,-0.103263,-0.070181,-0.120788,-0.248863,-0.254101
Elder_Ratio,deaths_gini_abs,0.230873,0.234995,0.128515,0.255064,0.240216,0.212796,0.241064,0.246544,0.145578,0.157311
Elder_Ratio,deaths_gini_rel,0.000000,0.017854,-0.443355,0.104777,0.040465,-0.078301,0.044140,0.067874,-0.369449,-0.318625
Mean_Household_Income,deaths_gini_abs,0.120154,0.110621,0.143407,0.013098,0.117213,0.134006,0.074670,0.052002,0.097939,0.127725
Mean_Household_Income,deaths_gini_rel,0.000000,-0.079345,0.193523,-0.890993,-0.024481,0.115279,-0.378547,-0.567209,-0.184890,0.063011
EW_Ratio,deaths_gini_abs,0.065892,0.061616,0.062546,0.040640,0.009128,0.063345,0.055776,0.048118,0.032436,0.090059
EW_Ratio,deaths_gini_rel,0.000000,-0.064907,-0.050789,-0.383234,-0.861473,-0.038660,-0.153527,-0.269750,-0.507736,0.366752
Minority_Ratio,deaths_gini_abs,0.059840,0.056548,0.049261,0.106937,0.042477,0.015562,0.068070,0.077939,0.032613,0.075729
Minority_Ratio,deaths_gini_rel,0.000000,-0.055021,-0.176786,0.787042,-0.290167,-0.739949,0.137529,0.302441,-0.455000,0.265513
