,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000047,0.000048,0.000046,0.000046,0.000046,0.000046
All,deaths_total_rel,0.000000,0.026466,-0.030281,-0.017088,-0.016532,-0.016611
Elder_Ratio,deaths_gini_abs,0.344494,0.341207,0.317348,0.338978,0.344683,0.338128
Elder_Ratio,deaths_gini_rel,0.000000,-0.009541,-0.078801,-0.016013,0.000547,-0.018481
Mean_Household_Income,deaths_gini_abs,0.122444,0.125455,0.128353,0.101658,0.125009,0.134385
Mean_Household_Income,deaths_gini_rel,0.000000,0.024597,0.048263,-0.169759,0.020953,0.097527
EW_Ratio,deaths_gini_abs,0.128505,0.120723,0.138417,0.129707,0.095443,0.137958
EW_Ratio,deaths_gini_rel,0.000000,-0.060560,0.077137,0.009354,-0.257284,0.073560
Minority_Ratio,deaths_gini_abs,0.203431,0.205993,0.187687,0.199505,0.208714,0.180672
Minority_Ratio,deaths_gini_rel,0.000000,0.012593,-0.077391,-0.019298,0.025971,-0.111876
