,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000040,0.000041,0.000040,0.000039,0.000039,0.000039,0.000041,0.000039,0.000034,0.000037
All,deaths_total_rel,0.000000,0.026446,0.003471,-0.018017,-0.028430,-0.021157,0.009752,-0.017521,-0.163636,-0.079339
Elder_Ratio,deaths_gini_abs,0.305444,0.289647,0.274354,0.293645,0.294475,0.299156,0.280045,0.294096,0.261090,0.271006
Elder_Ratio,deaths_gini_rel,0.000000,-0.051718,-0.101788,-0.038629,-0.035911,-0.020585,-0.083154,-0.037151,-0.145211,-0.112748
Mean_Household_Income,deaths_gini_abs,0.262695,0.266604,0.271246,0.245092,0.260459,0.254821,0.264734,0.264287,0.196879,0.252704
Mean_Household_Income,deaths_gini_rel,0.000000,0.014881,0.032550,-0.067008,-0.008512,-0.029973,0.007764,0.006062,-0.250542,-0.038031
EW_Ratio,deaths_gini_abs,0.080502,0.086242,0.101036,0.090531,0.053605,0.085660,0.088662,0.093363,0.036753,0.082708
EW_Ratio,deaths_gini_rel,0.000000,0.071303,0.255071,0.124583,-0.334121,0.064076,0.101368,0.159760,-0.543452,0.027401
Minority_Ratio,deaths_gini_abs,0.206134,0.202691,0.219271,0.195543,0.202515,0.184260,0.205055,0.195040,0.135837,0.239250
Minority_Ratio,deaths_gini_rel,0.000000,-0.016700,0.063728,-0.051380,-0.017557,-0.106116,-0.005234,-0.053820,-0.341024,0.160654
