,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000228,0.000211,0.000192,0.000200,0.000211,0.000207,0.000223,0.000199,0.000158,0.000169
All,deaths_total_rel,0.000000,-0.075593,-0.156944,-0.124372,-0.076465,-0.091064,-0.023401,-0.128366,-0.308439,-0.258749
Elder_Ratio,deaths_gini_abs,0.298448,0.294987,0.210887,0.306110,0.274672,0.312085,0.301482,0.316110,0.224150,0.245481
Elder_Ratio,deaths_gini_rel,0.000000,-0.011597,-0.293390,0.025673,-0.079667,0.045693,0.010166,0.059178,-0.248949,-0.177476
Mean_Household_Income,deaths_gini_abs,0.126062,0.139139,0.135275,0.062611,0.130802,0.105934,0.115037,0.080337,0.017160,0.118920
Mean_Household_Income,deaths_gini_rel,0.000000,0.103734,0.073080,-0.503330,0.037600,-0.159669,-0.087458,-0.362719,-0.863880,-0.056661
EW_Ratio,deaths_gini_abs,0.124095,0.127643,0.087600,0.098481,0.072785,0.143528,0.124129,0.108155,0.043123,0.194516
EW_Ratio,deaths_gini_rel,0.000000,0.028592,-0.294086,-0.206406,-0.413469,0.156601,0.000280,-0.128448,-0.652496,0.567483
Minority_Ratio,deaths_gini_abs,0.132576,0.128539,0.179488,0.082464,0.131382,0.068635,0.115863,0.053759,0.035705,0.166043
Minority_Ratio,deaths_gini_rel,0.000000,-0.030449,0.353848,-0.377991,-0.009012,-0.482299,-0.126064,-0.594509,-0.730684,0.252433
