,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000228,0.000201,0.000182,0.000186,0.000199,0.000198,0.000180,0.000192,0.000145,0.000148
All,deaths_total_rel,0.000000,-0.119545,-0.204444,-0.185618,-0.126214,-0.131468,-0.209640,-0.158553,-0.363539,-0.349115
Elder_Ratio,deaths_gini_abs,0.298448,0.296107,0.187729,0.304224,0.262045,0.308646,0.320814,0.317086,0.213569,0.236376
Elder_Ratio,deaths_gini_rel,0.000000,-0.007844,-0.370984,0.019352,-0.121976,0.034168,0.074940,0.062449,-0.284403,-0.207982
Mean_Household_Income,deaths_gini_abs,0.126062,0.130319,0.141349,0.031599,0.127335,0.086119,0.077439,0.075491,0.013925,0.106101
Mean_Household_Income,deaths_gini_rel,0.000000,0.033762,0.121264,-0.749337,0.010092,-0.316852,-0.385709,-0.401160,-0.889543,-0.158347
EW_Ratio,deaths_gini_abs,0.124095,0.130896,0.093160,0.089686,0.039686,0.130812,0.093223,0.104758,0.055921,0.195465
EW_Ratio,deaths_gini_rel,0.000000,0.054804,-0.249286,-0.277274,-0.680199,0.054129,-0.248778,-0.155824,-0.549371,0.575129
Minority_Ratio,deaths_gini_abs,0.132576,0.117572,0.175987,0.065218,0.132191,0.043155,0.021272,0.041322,0.029089,0.161452
Minority_Ratio,deaths_gini_rel,0.000000,-0.113178,0.327441,-0.508073,-0.002907,-0.674491,-0.839549,-0.688318,-0.780586,0.217808
