,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000498,0.000461,0.000447,0.000388,0.000427,0.000444,0.000401,0.000424,0.000378,0.000386
All,deaths_total_rel,0.000000,-0.075398,-0.102277,-0.221758,-0.143616,-0.109308,-0.195774,-0.149970,-0.242363,-0.226104
Elder_Ratio,deaths_gini_abs,0.130730,0.124182,0.060355,0.150144,0.136346,0.156529,0.158785,0.150478,0.096528,0.080101
Elder_Ratio,deaths_gini_rel,0.000000,-0.050089,-0.538321,0.148506,0.042960,0.197352,0.214603,0.151061,-0.261623,-0.387278
Mean_Household_Income,deaths_gini_abs,0.469877,0.465487,0.469815,0.380588,0.433064,0.445013,0.405950,0.424928,0.408518,0.458480
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009342,-0.000131,-0.190025,-0.078346,-0.052917,-0.136049,-0.095661,-0.130585,-0.024255
EW_Ratio,deaths_gini_abs,0.319482,0.314732,0.312447,0.227213,0.247892,0.305926,0.258660,0.277466,0.248120,0.337271
EW_Ratio,deaths_gini_rel,0.000000,-0.014868,-0.022018,-0.288809,-0.224080,-0.042430,-0.190376,-0.131513,-0.223367,0.055681
Minority_Ratio,deaths_gini_abs,0.401303,0.402918,0.416657,0.312158,0.371141,0.356496,0.329943,0.348791,0.346798,0.425362
Minority_Ratio,deaths_gini_rel,0.000000,0.004024,0.038260,-0.222140,-0.075161,-0.111655,-0.177821,-0.130856,-0.135820,0.059951
