,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000040,0.000041,0.000039,0.000041,0.000039,0.000039
All,deaths_total_rel,0.000000,0.043503,-0.014733,0.034339,-0.023898,-0.003480
Elder_Ratio,deaths_gini_abs,0.316016,0.316714,0.285920,0.313472,0.322736,0.310428
Elder_Ratio,deaths_gini_rel,0.000000,0.002208,-0.095236,-0.008048,0.021267,-0.017683
Mean_Household_Income,deaths_gini_abs,0.085351,0.074212,0.080882,0.056183,0.089174,0.077840
Mean_Household_Income,deaths_gini_rel,0.000000,-0.130506,-0.052366,-0.341740,0.044792,-0.088006
EW_Ratio,deaths_gini_abs,0.128454,0.130472,0.121096,0.127193,0.088355,0.125725
EW_Ratio,deaths_gini_rel,0.000000,0.015710,-0.057285,-0.009820,-0.312165,-0.021249
Minority_Ratio,deaths_gini_abs,0.101895,0.109108,0.090592,0.124076,0.100493,0.084181
Minority_Ratio,deaths_gini_rel,0.000000,0.070787,-0.110931,0.217682,-0.013757,-0.173846
