,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000040,0.000040,0.000038,0.000040
All,deaths_total_rel,0.000000,0.010249,-0.025704,-0.031072,-0.057426,-0.030747
Elder_Ratio,deaths_gini_abs,0.286240,0.289647,0.274236,0.291633,0.296582,0.292605
Elder_Ratio,deaths_gini_rel,0.000000,0.011902,-0.041938,0.018841,0.036129,0.022236
Mean_Household_Income,deaths_gini_abs,0.272309,0.266604,0.263629,0.250835,0.265117,0.256499
Mean_Household_Income,deaths_gini_rel,0.000000,-0.020951,-0.031876,-0.078859,-0.026411,-0.058061
EW_Ratio,deaths_gini_abs,0.079660,0.086242,0.089530,0.093243,0.067006,0.086179
EW_Ratio,deaths_gini_rel,0.000000,0.082629,0.123906,0.170511,-0.158847,0.081840
Minority_Ratio,deaths_gini_abs,0.213263,0.202691,0.210360,0.205833,0.204204,0.186697
Minority_Ratio,deaths_gini_rel,0.000000,-0.049570,-0.013613,-0.034838,-0.042480,-0.124568
