,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000039,0.000039,0.000037,0.000038,0.000037,0.000041,0.000037,0.000032,0.000032
All,deaths_total_rel,0.000000,-0.045572,-0.057649,-0.099678,-0.084863,-0.099678,-0.014010,-0.104831,-0.222866,-0.215781
Elder_Ratio,deaths_gini_abs,0.289647,0.288404,0.265081,0.290402,0.311619,0.303667,0.288527,0.306178,0.250468,0.247297
Elder_Ratio,deaths_gini_rel,0.000000,-0.004290,-0.084815,0.002606,0.075858,0.048402,-0.003867,0.057073,-0.135263,-0.146212
Mean_Household_Income,deaths_gini_abs,0.266604,0.272228,0.271144,0.229330,0.251980,0.257876,0.265824,0.261369,0.199946,0.244461
Mean_Household_Income,deaths_gini_rel,0.000000,0.021094,0.017030,-0.139812,-0.054854,-0.032738,-0.002926,-0.019635,-0.250026,-0.083057
EW_Ratio,deaths_gini_abs,0.086242,0.088387,0.100138,0.083115,0.042560,0.087525,0.089639,0.076704,0.033926,0.066271
EW_Ratio,deaths_gini_rel,0.000000,0.024869,0.161124,-0.036262,-0.506500,0.014873,0.039392,-0.110593,-0.606620,-0.231573
Minority_Ratio,deaths_gini_abs,0.202691,0.201247,0.214185,0.177744,0.192191,0.163836,0.209864,0.169787,0.137534,0.207495
Minority_Ratio,deaths_gini_rel,0.000000,-0.007125,0.056703,-0.123083,-0.051804,-0.191698,0.035388,-0.162339,-0.321463,0.023699
