,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000086,0.000091,0.000081,0.000086,0.000085,0.000085
All,deaths_total_rel,0.000000,0.052598,-0.055767,0.002256,-0.014667,-0.019932
Elder_Ratio,deaths_gini_abs,0.231244,0.228021,0.166505,0.230211,0.239215,0.206766
Elder_Ratio,deaths_gini_rel,0.000000,-0.013937,-0.279959,-0.004466,0.034473,-0.105850
Mean_Household_Income,deaths_gini_abs,0.026870,0.030010,0.031797,0.008644,0.036115,0.044677
Mean_Household_Income,deaths_gini_rel,0.000000,0.116850,0.183343,-0.678298,0.344039,0.662709
EW_Ratio,deaths_gini_abs,0.089974,0.093401,0.092099,0.095283,0.055682,0.094150
EW_Ratio,deaths_gini_rel,0.000000,0.038087,0.023616,0.059005,-0.381129,0.046412
Minority_Ratio,deaths_gini_abs,0.074288,0.077111,0.056274,0.088170,0.078310,0.041562
Minority_Ratio,deaths_gini_rel,0.000000,0.038002,-0.242495,0.186868,0.054142,-0.440524
