,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000082,0.000075,0.000081,0.000079,0.000080,0.000081,0.000083,0.000063,0.000065
All,deaths_total_rel,0.000000,-0.099071,-0.179155,-0.110402,-0.131686,-0.116170,-0.106727,-0.084728,-0.311352,-0.280012
Elder_Ratio,deaths_gini_abs,0.228021,0.233492,0.124534,0.231910,0.257718,0.198958,0.235377,0.231724,0.103656,0.124212
Elder_Ratio,deaths_gini_rel,0.000000,0.023997,-0.453846,0.017058,0.130240,-0.127457,0.032262,0.016243,-0.545412,-0.455262
Mean_Household_Income,deaths_gini_abs,0.030010,0.025717,0.030879,0.023296,0.050880,0.049236,0.079448,0.038008,0.016746,0.040262
Mean_Household_Income,deaths_gini_rel,0.000000,-0.143053,0.028941,-0.223742,0.695437,0.640648,1.647367,0.266507,-0.441985,0.341619
EW_Ratio,deaths_gini_abs,0.093401,0.088717,0.090447,0.097320,0.037752,0.092349,0.102326,0.100367,0.054305,0.108751
EW_Ratio,deaths_gini_rel,0.000000,-0.050147,-0.031625,0.041959,-0.595812,-0.011265,0.095558,0.074587,-0.418585,0.164347
Minority_Ratio,deaths_gini_abs,0.077111,0.074705,0.041027,0.105359,0.092344,0.023929,0.139324,0.074853,0.018944,0.037257
Minority_Ratio,deaths_gini_rel,0.000000,-0.031204,-0.467951,0.366325,0.197548,-0.689678,0.806802,-0.029288,-0.754324,-0.516840
