,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000094,0.000107,0.000082,0.000087,0.000092,0.000094,0.000088,0.000090,0.000077,0.000075
All,deaths_total_rel,0.000000,0.134537,-0.127097,-0.078863,-0.026764,-0.005071,-0.063470,-0.041152,-0.178392,-0.198365
Elder_Ratio,deaths_gini_abs,0.237653,0.230873,0.101317,0.263016,0.237273,0.208053,0.264789,0.249084,0.139832,0.150945
Elder_Ratio,deaths_gini_rel,0.000000,-0.028529,-0.573677,0.106720,-0.001599,-0.124552,0.114183,0.048097,-0.411612,-0.364851
Mean_Household_Income,deaths_gini_abs,0.113804,0.120154,0.148922,0.010972,0.117301,0.138662,0.013806,0.056733,0.093175,0.129534
Mean_Household_Income,deaths_gini_rel,0.000000,0.055796,0.308583,-0.903590,0.030728,0.218422,-0.878686,-0.501483,-0.181270,0.138219
EW_Ratio,deaths_gini_abs,0.065272,0.065892,0.056054,0.040850,0.007876,0.061003,0.048472,0.049323,0.028902,0.094540
EW_Ratio,deaths_gini_rel,0.000000,0.009501,-0.141235,-0.374154,-0.879334,-0.065404,-0.257394,-0.244352,-0.557208,0.448397
Minority_Ratio,deaths_gini_abs,0.054818,0.059840,0.061397,0.124226,0.041421,0.010128,0.136875,0.071655,0.030413,0.073344
Minority_Ratio,deaths_gini_rel,0.000000,0.091624,0.120022,1.266156,-0.244392,-0.815240,1.496911,0.307154,-0.445196,0.337952
