,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000087,0.000085,0.000088,0.000087,0.000088,0.000090,0.000089,0.000086,0.000080
All,deaths_total_rel,0.000000,-0.037668,-0.068293,-0.028991,-0.043487,-0.034402,-0.013985,-0.017201,-0.052368,-0.123009
Elder_Ratio,deaths_gini_abs,0.228021,0.222588,0.186741,0.221748,0.247583,0.222474,0.233745,0.228449,0.209698,0.180824
Elder_Ratio,deaths_gini_rel,0.000000,-0.023825,-0.181036,-0.027509,0.085793,-0.024325,0.025103,0.001880,-0.080356,-0.206982
Mean_Household_Income,deaths_gini_abs,0.030010,0.030350,0.027183,0.014981,0.039327,0.038939,0.029021,0.034582,0.009233,0.026186
Mean_Household_Income,deaths_gini_rel,0.000000,0.011339,-0.094214,-0.500797,0.310463,0.297534,-0.032944,0.152350,-0.692336,-0.127441
EW_Ratio,deaths_gini_abs,0.093401,0.090396,0.097811,0.093710,0.063751,0.091822,0.097601,0.100866,0.075566,0.095903
EW_Ratio,deaths_gini_rel,0.000000,-0.032168,0.047211,0.003308,-0.317445,-0.016901,0.044973,0.079923,-0.190950,0.026787
Minority_Ratio,deaths_gini_abs,0.077111,0.069167,0.059571,0.083524,0.077561,0.056197,0.083931,0.076279,0.064943,0.044683
Minority_Ratio,deaths_gini_rel,0.000000,-0.103019,-0.227470,0.083163,0.005830,-0.271217,0.088439,-0.010792,-0.157801,-0.420543
