,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000207,0.000228,0.000187,0.000193,0.000206,0.000201,0.000185,0.000194,0.000135,0.000154
All,deaths_total_rel,0.000000,0.099883,-0.097750,-0.067939,-0.006781,-0.030238,-0.108796,-0.063674,-0.348950,-0.258045
Elder_Ratio,deaths_gini_abs,0.293527,0.298448,0.201950,0.310840,0.274665,0.317551,0.332047,0.322407,0.176585,0.227682
Elder_Ratio,deaths_gini_rel,0.000000,0.016766,-0.311988,0.058982,-0.064260,0.081847,0.131232,0.098389,-0.398401,-0.224322
Mean_Household_Income,deaths_gini_abs,0.136503,0.126062,0.138246,0.047523,0.133564,0.098815,0.093591,0.080690,0.007490,0.119247
Mean_Household_Income,deaths_gini_rel,0.000000,-0.076484,0.012771,-0.651850,-0.021527,-0.276094,-0.314369,-0.408877,-0.945129,-0.126414
EW_Ratio,deaths_gini_abs,0.124245,0.124095,0.072895,0.093799,0.061595,0.145007,0.097114,0.104789,0.025836,0.228228
EW_Ratio,deaths_gini_rel,0.000000,-0.001207,-0.413293,-0.245047,-0.504243,0.167106,-0.218368,-0.156589,-0.792054,0.836923
Minority_Ratio,deaths_gini_abs,0.125280,0.132576,0.194316,0.070986,0.130739,0.050563,0.022838,0.041164,0.014165,0.181924
Minority_Ratio,deaths_gini_rel,0.000000,0.058241,0.551057,-0.433384,0.043573,-0.596399,-0.817706,-0.671425,-0.886934,0.452144
