,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000039,0.000041,0.000039,0.000040
All,deaths_total_rel,0.000000,0.014664,-0.032149,0.003835,-0.035195,-0.013536
Elder_Ratio,deaths_gini_abs,0.318467,0.316714,0.292747,0.307702,0.330331,0.311830
Elder_Ratio,deaths_gini_rel,0.000000,-0.005506,-0.080761,-0.033803,0.037255,-0.020840
Mean_Household_Income,deaths_gini_abs,0.091355,0.074212,0.088984,0.064796,0.091643,0.088452
Mean_Household_Income,deaths_gini_rel,0.000000,-0.187647,-0.025953,-0.290726,0.003151,-0.031780
EW_Ratio,deaths_gini_abs,0.119013,0.130472,0.122222,0.123194,0.100968,0.127583
EW_Ratio,deaths_gini_rel,0.000000,0.096286,0.026968,0.035132,-0.151625,0.072010
Minority_Ratio,deaths_gini_abs,0.098777,0.109108,0.085909,0.116558,0.099615,0.086939
Minority_Ratio,deaths_gini_rel,0.000000,0.104588,-0.130272,0.180018,0.008483,-0.119848
