,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000491,0.000498,0.000485,0.000482,0.000488,0.000485
All,deaths_total_rel,0.000000,0.015829,-0.010637,-0.017062,-0.005788,-0.011001
Elder_Ratio,deaths_gini_abs,0.127008,0.130730,0.110431,0.133013,0.128832,0.135993
Elder_Ratio,deaths_gini_rel,0.000000,0.029300,-0.130519,0.047277,0.014359,0.070742
Mean_Household_Income,deaths_gini_abs,0.473519,0.469877,0.475110,0.458519,0.468895,0.466419
Mean_Household_Income,deaths_gini_rel,0.000000,-0.007691,0.003360,-0.031678,-0.009764,-0.014994
EW_Ratio,deaths_gini_abs,0.321368,0.319482,0.318450,0.305257,0.310662,0.319086
EW_Ratio,deaths_gini_rel,0.000000,-0.005871,-0.009082,-0.050135,-0.033316,-0.007103
Minority_Ratio,deaths_gini_abs,0.406253,0.401303,0.407525,0.387385,0.400857,0.390163
Minority_Ratio,deaths_gini_rel,0.000000,-0.012183,0.003131,-0.046444,-0.013281,-0.039607
