,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000104,0.000107,0.000100,0.000105,0.000104,0.000102
All,deaths_total_rel,0.000000,0.026458,-0.036363,0.012411,0.000667,-0.021284
Elder_Ratio,deaths_gini_abs,0.230835,0.230873,0.195597,0.238101,0.230810,0.219080
Elder_Ratio,deaths_gini_rel,0.000000,0.000166,-0.152654,0.031477,-0.000107,-0.050926
Mean_Household_Income,deaths_gini_abs,0.128623,0.120154,0.142218,0.108929,0.122791,0.139542
Mean_Household_Income,deaths_gini_rel,0.000000,-0.065842,0.105696,-0.153118,-0.045345,0.084887
EW_Ratio,deaths_gini_abs,0.068199,0.065892,0.073150,0.064405,0.047149,0.069798
EW_Ratio,deaths_gini_rel,0.000000,-0.033814,0.072602,-0.055628,-0.308649,0.023447
Minority_Ratio,deaths_gini_abs,0.060194,0.059840,0.049883,0.054212,0.047926,0.028657
Minority_Ratio,deaths_gini_rel,0.000000,-0.005876,-0.171304,-0.099379,-0.203811,-0.523919
