,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000041,0.000041,0.000039,0.000039,0.000039,0.000039
All,deaths_total_rel,0.000000,0.017199,-0.039312,-0.048649,-0.049795,-0.050123
Elder_Ratio,deaths_gini_abs,0.295841,0.289647,0.264487,0.287013,0.299938,0.297635
Elder_Ratio,deaths_gini_rel,0.000000,-0.020938,-0.105982,-0.029842,0.013848,0.006064
Mean_Household_Income,deaths_gini_abs,0.268957,0.266604,0.266806,0.232365,0.259101,0.253816
Mean_Household_Income,deaths_gini_rel,0.000000,-0.008748,-0.007998,-0.136050,-0.036647,-0.056295
EW_Ratio,deaths_gini_abs,0.088109,0.086242,0.104052,0.087508,0.061951,0.087485
EW_Ratio,deaths_gini_rel,0.000000,-0.021192,0.180946,-0.006825,-0.296880,-0.007084
Minority_Ratio,deaths_gini_abs,0.204210,0.202691,0.208400,0.188754,0.199831,0.170132
Minority_Ratio,deaths_gini_rel,0.000000,-0.007436,0.020516,-0.075687,-0.021443,-0.166878
