,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000107,0.000098,0.000090,0.000091,0.000097,0.000098,0.000093,0.000095,0.000078,0.000082
All,deaths_total_rel,0.000000,-0.077959,-0.160900,-0.147116,-0.095091,-0.085127,-0.132466,-0.113483,-0.265561,-0.234074
Elder_Ratio,deaths_gini_abs,0.230873,0.238401,0.131722,0.255840,0.233675,0.222421,0.251317,0.239829,0.133545,0.158514
Elder_Ratio,deaths_gini_rel,0.000000,0.032606,-0.429463,0.108139,0.012136,-0.036609,0.088547,0.038789,-0.421565,-0.313414
Mean_Household_Income,deaths_gini_abs,0.120154,0.111572,0.134409,0.021616,0.119715,0.133310,0.033315,0.056161,0.095944,0.145015
Mean_Household_Income,deaths_gini_rel,0.000000,-0.071425,0.118636,-0.820097,-0.003654,0.109494,-0.722735,-0.532588,-0.201490,0.206907
EW_Ratio,deaths_gini_abs,0.065892,0.059654,0.061602,0.040832,0.023299,0.069264,0.049839,0.041353,0.024716,0.111863
EW_Ratio,deaths_gini_rel,0.000000,-0.094680,-0.065117,-0.380324,-0.646409,0.051162,-0.243626,-0.372414,-0.624905,0.697666
Minority_Ratio,deaths_gini_abs,0.059840,0.062233,0.048240,0.094754,0.040735,0.012809,0.104805,0.077522,0.027940,0.090151
Minority_Ratio,deaths_gini_rel,0.000000,0.039982,-0.193849,0.583438,-0.319272,-0.785939,0.751412,0.295483,-0.533100,0.506524
