,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000107,0.000102,0.000095,0.000096,0.000101,0.000101,0.000097,0.000099,0.000089,0.000090
All,deaths_total_rel,0.000000,-0.048599,-0.109545,-0.099955,-0.057637,-0.054073,-0.091822,-0.076502,-0.162692,-0.156923
Elder_Ratio,deaths_gini_abs,0.230873,0.235653,0.162938,0.252594,0.234037,0.220487,0.246099,0.244705,0.176977,0.177774
Elder_Ratio,deaths_gini_rel,0.000000,0.020703,-0.294254,0.094079,0.013701,-0.044988,0.065947,0.059912,-0.233448,-0.229994
Mean_Household_Income,deaths_gini_abs,0.120154,0.116388,0.127676,0.048200,0.118006,0.135117,0.058425,0.072307,0.092115,0.127537
Mean_Household_Income,deaths_gini_rel,0.000000,-0.031341,0.062602,-0.598846,-0.017877,0.124526,-0.513748,-0.398216,-0.233364,0.061448
EW_Ratio,deaths_gini_abs,0.065892,0.063249,0.060980,0.040896,0.024529,0.069008,0.047498,0.050505,0.032082,0.089503
EW_Ratio,deaths_gini_rel,0.000000,-0.040115,-0.074559,-0.379359,-0.627745,0.047277,-0.279159,-0.233529,-0.513121,0.358324
Minority_Ratio,deaths_gini_abs,0.059840,0.057948,0.051794,0.080723,0.045306,0.022944,0.080672,0.065139,0.034878,0.065174
Minority_Ratio,deaths_gini_rel,0.000000,-0.031633,-0.134469,0.348973,-0.242880,-0.616580,0.348117,0.088548,-0.417143,0.089137
