,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000266,0.000305,0.000251,0.000255,0.000263,0.000266,0.000256,0.000259,0.000197,0.000207
All,deaths_total_rel,0.000000,0.148069,-0.055022,-0.041940,-0.010241,-0.001828,-0.038555,-0.024954,-0.259361,-0.221337
Elder_Ratio,deaths_gini_abs,0.228348,0.228453,0.132650,0.215305,0.216939,0.241451,0.235295,0.236299,0.118785,0.127873
Elder_Ratio,deaths_gini_rel,0.000000,0.000463,-0.419088,-0.057116,-0.049961,0.057383,0.030422,0.034821,-0.479807,-0.440006
Mean_Household_Income,deaths_gini_abs,0.201124,0.203322,0.185883,0.106428,0.164085,0.158542,0.116157,0.125891,0.041877,0.205986
Mean_Household_Income,deaths_gini_rel,0.000000,0.010929,-0.075778,-0.470831,-0.184161,-0.211720,-0.422459,-0.374062,-0.791786,0.024178
EW_Ratio,deaths_gini_abs,0.147799,0.143136,0.100704,0.065644,0.065917,0.125578,0.086652,0.093130,0.010533,0.222032
EW_Ratio,deaths_gini_rel,0.000000,-0.031545,-0.318642,-0.555859,-0.554009,-0.150343,-0.413714,-0.369888,-0.928731,0.502260
Minority_Ratio,deaths_gini_abs,0.207694,0.203770,0.216617,0.129746,0.173141,0.138268,0.127451,0.134018,0.057553,0.293844
Minority_Ratio,deaths_gini_rel,0.000000,-0.018893,0.042965,-0.375300,-0.166361,-0.334270,-0.386350,-0.354733,-0.722893,0.414795
