,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000041,0.000039,0.000041,0.000039,0.000041,0.000040,0.000041,0.000038,0.000038
All,deaths_total_rel,0.000000,0.016959,-0.029734,0.005766,-0.028378,0.001244,-0.003844,0.017298,-0.058225,-0.066139
Elder_Ratio,deaths_gini_abs,0.318598,0.316714,0.288216,0.313322,0.319800,0.314058,0.310722,0.314879,0.285705,0.291597
Elder_Ratio,deaths_gini_rel,0.000000,-0.005914,-0.095361,-0.016558,0.003774,-0.014249,-0.024719,-0.011671,-0.103243,-0.084750
Mean_Household_Income,deaths_gini_abs,0.069116,0.074212,0.072518,0.049857,0.086848,0.075778,0.059970,0.083753,0.066141,0.072738
Mean_Household_Income,deaths_gini_rel,0.000000,0.073734,0.049222,-0.278648,0.256553,0.096378,-0.132337,0.211776,-0.043045,0.052402
EW_Ratio,deaths_gini_abs,0.122772,0.130472,0.126225,0.121547,0.099225,0.134795,0.129401,0.128032,0.110190,0.123069
EW_Ratio,deaths_gini_rel,0.000000,0.062718,0.028120,-0.009983,-0.191800,0.097929,0.053993,0.042844,-0.102481,0.002420
Minority_Ratio,deaths_gini_abs,0.115504,0.109108,0.094675,0.125027,0.101835,0.096399,0.116539,0.100517,0.098438,0.097093
Minority_Ratio,deaths_gini_rel,0.000000,-0.055378,-0.180334,0.082443,-0.118343,-0.165404,0.008965,-0.129752,-0.147753,-0.159401
