,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000305,0.000294,0.000287,0.000291,0.000294,0.000294,0.000289,0.000290,0.000263,0.000273
All,deaths_total_rel,0.000000,-0.038037,-0.060397,-0.048593,-0.036617,-0.036821,-0.054888,-0.049217,-0.138624,-0.107236
Elder_Ratio,deaths_gini_abs,0.228453,0.229218,0.196686,0.221906,0.228530,0.228845,0.228407,0.228367,0.177796,0.188520
Elder_Ratio,deaths_gini_rel,0.000000,0.003345,-0.139055,-0.028658,0.000336,0.001712,-0.000203,-0.000379,-0.221742,-0.174801
Mean_Household_Income,deaths_gini_abs,0.203322,0.199750,0.192717,0.170809,0.192410,0.195449,0.172653,0.175979,0.127410,0.202404
Mean_Household_Income,deaths_gini_rel,0.000000,-0.017566,-0.052157,-0.159909,-0.053669,-0.038722,-0.150837,-0.134482,-0.373357,-0.004516
EW_Ratio,deaths_gini_abs,0.143136,0.146995,0.119078,0.112093,0.121946,0.140009,0.119624,0.122109,0.058740,0.177487
EW_Ratio,deaths_gini_rel,0.000000,0.026959,-0.168078,-0.216881,-0.148044,-0.021852,-0.164264,-0.146908,-0.589623,0.239986
Minority_Ratio,deaths_gini_abs,0.203770,0.200456,0.210473,0.175920,0.198447,0.188256,0.176145,0.179452,0.131263,0.250058
Minority_Ratio,deaths_gini_rel,0.000000,-0.016263,0.032894,-0.136673,-0.026121,-0.076134,-0.135570,-0.119340,-0.355825,0.227157
