,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000048,0.000044,0.000038,0.000041,0.000041,0.000042,0.000043,0.000045,0.000037,0.000035
All,deaths_total_rel,0.000000,-0.093148,-0.205343,-0.142625,-0.156330,-0.122571,-0.102052,-0.074487,-0.238715,-0.272319
Elder_Ratio,deaths_gini_abs,0.341207,0.353246,0.231802,0.327564,0.345090,0.319167,0.345273,0.349419,0.282951,0.284242
Elder_Ratio,deaths_gini_rel,0.000000,0.035283,-0.320643,-0.039987,0.011380,-0.064596,0.011915,0.024067,-0.170736,-0.166953
Mean_Household_Income,deaths_gini_abs,0.125455,0.123780,0.099430,0.053029,0.108098,0.126050,0.143340,0.116733,0.085400,0.095582
Mean_Household_Income,deaths_gini_rel,0.000000,-0.013355,-0.207451,-0.577309,-0.138352,0.004736,0.142560,-0.069530,-0.319278,-0.238119
EW_Ratio,deaths_gini_abs,0.120723,0.131692,0.126636,0.122579,0.058828,0.147044,0.132816,0.133018,0.103810,0.108584
EW_Ratio,deaths_gini_rel,0.000000,0.090862,0.048986,0.015373,-0.512704,0.218034,0.100171,0.101848,-0.140093,-0.100552
Minority_Ratio,deaths_gini_abs,0.205993,0.206368,0.166600,0.205878,0.213129,0.136273,0.252862,0.213768,0.189052,0.170768
Minority_Ratio,deaths_gini_rel,0.000000,0.001819,-0.191232,-0.000557,0.034643,-0.338457,0.227530,0.037746,-0.082238,-0.171002
