,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000040,0.000039,0.000038,0.000038,0.000039,0.000040,0.000038,0.000034,0.000034
All,deaths_total_rel,0.000000,-0.031884,-0.052335,-0.080193,-0.070692,-0.062319,-0.027053,-0.074396,-0.177617,-0.185185
Elder_Ratio,deaths_gini_abs,0.289647,0.292109,0.261290,0.286578,0.302669,0.302029,0.289803,0.304002,0.267354,0.275333
Elder_Ratio,deaths_gini_rel,0.000000,0.008502,-0.097900,-0.010594,0.044959,0.042747,0.000537,0.049562,-0.076966,-0.049419
Mean_Household_Income,deaths_gini_abs,0.266604,0.271914,0.272334,0.229416,0.251185,0.252704,0.269959,0.247258,0.219346,0.240045
Mean_Household_Income,deaths_gini_rel,0.000000,0.019919,0.021494,-0.139486,-0.057835,-0.052139,0.012584,-0.072565,-0.177259,-0.099620
EW_Ratio,deaths_gini_abs,0.086242,0.082097,0.096523,0.083320,0.043711,0.091251,0.110332,0.082388,0.039029,0.063730
EW_Ratio,deaths_gini_rel,0.000000,-0.048063,0.119213,-0.033883,-0.493165,0.058080,0.279327,-0.044688,-0.547451,-0.261034
Minority_Ratio,deaths_gini_abs,0.202691,0.202723,0.215681,0.185296,0.199139,0.174029,0.197428,0.181980,0.149106,0.203193
Minority_Ratio,deaths_gini_rel,0.000000,0.000153,0.064083,-0.085821,-0.017526,-0.141412,-0.025969,-0.102181,-0.264371,0.002475
