,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000479,0.000498,0.000470,0.000436,0.000464,0.000473,0.000448,0.000464,0.000434,0.000440
All,deaths_total_rel,0.000000,0.039950,-0.019173,-0.090282,-0.032204,-0.013279,-0.065049,-0.030797,-0.094625,-0.080933
Elder_Ratio,deaths_gini_abs,0.123045,0.130730,0.088718,0.137946,0.134525,0.142886,0.145807,0.140009,0.101680,0.087398
Elder_Ratio,deaths_gini_rel,0.000000,0.062455,-0.278976,0.121107,0.093297,0.161252,0.184992,0.137872,-0.173636,-0.289707
Mean_Household_Income,deaths_gini_abs,0.467729,0.469877,0.470396,0.426926,0.455810,0.461105,0.438649,0.449465,0.439182,0.470177
Mean_Household_Income,deaths_gini_rel,0.000000,0.004591,0.005701,-0.087236,-0.025484,-0.014163,-0.062172,-0.039050,-0.061034,0.005234
EW_Ratio,deaths_gini_abs,0.315976,0.319482,0.311683,0.274721,0.288318,0.318016,0.288327,0.297754,0.282843,0.337107
EW_Ratio,deaths_gini_rel,0.000000,0.011095,-0.013587,-0.130564,-0.087533,0.006456,-0.087502,-0.057670,-0.104860,0.066877
Minority_Ratio,deaths_gini_abs,0.402868,0.401303,0.407237,0.356023,0.392861,0.383324,0.362441,0.375343,0.372467,0.425747
Minority_Ratio,deaths_gini_rel,0.000000,-0.003883,0.010845,-0.116277,-0.024838,-0.048513,-0.100347,-0.068322,-0.075460,0.056791
