,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000163,0.000166,0.000158,0.000162,0.000162,0.000161
All,deaths_total_rel,0.000000,0.017344,-0.026941,-0.005586,-0.004259,-0.012159
Elder_Ratio,deaths_gini_abs,0.314821,0.313645,0.293935,0.312905,0.310008,0.302523
Elder_Ratio,deaths_gini_rel,0.000000,-0.003735,-0.066344,-0.006088,-0.015289,-0.039063
Mean_Household_Income,deaths_gini_abs,0.070584,0.065102,0.071926,0.058745,0.064761,0.077074
Mean_Household_Income,deaths_gini_rel,0.000000,-0.077667,0.019022,-0.167727,-0.082492,0.091944
EW_Ratio,deaths_gini_abs,0.038364,0.038579,0.036043,0.035957,0.028401,0.036461
EW_Ratio,deaths_gini_rel,0.000000,0.005590,-0.060504,-0.062746,-0.259714,-0.049619
Minority_Ratio,deaths_gini_abs,0.115542,0.112455,0.099409,0.109878,0.110241,0.090721
Minority_Ratio,deaths_gini_rel,0.000000,-0.026718,-0.139624,-0.049016,-0.045875,-0.214822
