,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000084,0.000077,0.000083,0.000081,0.000082,0.000083,0.000084,0.000082,0.000070
All,deaths_total_rel,0.000000,-0.073142,-0.151184,-0.087842,-0.110147,-0.095906,-0.082023,-0.075847,-0.098969,-0.231370
Elder_Ratio,deaths_gini_abs,0.228021,0.233157,0.142236,0.228290,0.250663,0.207399,0.230143,0.228043,0.203239,0.137746
Elder_Ratio,deaths_gini_rel,0.000000,0.022525,-0.376213,0.001182,0.099298,-0.090437,0.009307,0.000099,-0.108683,-0.395907
Mean_Household_Income,deaths_gini_abs,0.030010,0.019675,0.025679,0.012358,0.047284,0.047907,0.065776,0.033731,0.007700,0.022989
Mean_Household_Income,deaths_gini_rel,0.000000,-0.344385,-0.144331,-0.588190,0.575603,0.596362,1.191790,0.123982,-0.743422,-0.233973
EW_Ratio,deaths_gini_abs,0.093401,0.094358,0.099535,0.092679,0.045424,0.096304,0.108623,0.100375,0.065572,0.100067
EW_Ratio,deaths_gini_rel,0.000000,0.010250,0.065677,-0.007732,-0.513669,0.031080,0.162978,0.074663,-0.297953,0.071367
Minority_Ratio,deaths_gini_abs,0.077111,0.073479,0.048079,0.103094,0.091764,0.031489,0.125187,0.079188,0.048241,0.044429
Minority_Ratio,deaths_gini_rel,0.000000,-0.047108,-0.376499,0.336958,0.190023,-0.591637,0.623464,0.026929,-0.374395,-0.423831
