,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000040,0.000040,0.000039,0.000039,0.000039,0.000041,0.000039,0.000034,0.000037
All,deaths_total_rel,0.000000,-0.025765,-0.022383,-0.043317,-0.053462,-0.046377,-0.016264,-0.042834,-0.185185,-0.103060
Elder_Ratio,deaths_gini_abs,0.289647,0.305444,0.274354,0.293645,0.294475,0.299156,0.280045,0.294096,0.261090,0.271006
Elder_Ratio,deaths_gini_rel,0.000000,0.054539,-0.052800,0.013803,0.016669,0.032831,-0.033150,0.015362,-0.098592,-0.064359
Mean_Household_Income,deaths_gini_abs,0.266604,0.262695,0.271246,0.245092,0.260459,0.254821,0.264734,0.264287,0.196879,0.252704
Mean_Household_Income,deaths_gini_rel,0.000000,-0.014663,0.017410,-0.080689,-0.023050,-0.044196,-0.007013,-0.008690,-0.261532,-0.052136
EW_Ratio,deaths_gini_abs,0.086242,0.080502,0.101036,0.090531,0.053605,0.085660,0.088662,0.093363,0.036753,0.082708
EW_Ratio,deaths_gini_rel,0.000000,-0.066557,0.171537,0.049734,-0.378440,-0.006746,0.028064,0.082569,-0.573839,-0.040980
Minority_Ratio,deaths_gini_abs,0.202691,0.206134,0.219271,0.195543,0.202515,0.184260,0.205055,0.195040,0.135837,0.239250
Minority_Ratio,deaths_gini_rel,0.000000,0.016984,0.081795,-0.035269,-0.000871,-0.090934,0.011661,-0.037750,-0.329832,0.180367
