,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000048,0.000046,0.000044,0.000045,0.000045,0.000046,0.000047,0.000047,0.000042,0.000040
All,deaths_total_rel,0.000000,-0.047619,-0.098258,-0.060085,-0.066822,-0.047774,-0.027797,-0.033140,-0.136431,-0.169725
Elder_Ratio,deaths_gini_abs,0.341207,0.348572,0.283564,0.341765,0.359352,0.325367,0.346472,0.345285,0.295233,0.290691
Elder_Ratio,deaths_gini_rel,0.000000,0.021584,-0.168940,0.001634,0.053177,-0.046425,0.015429,0.011950,-0.134741,-0.148051
Mean_Household_Income,deaths_gini_abs,0.125455,0.125210,0.125879,0.093389,0.128370,0.126923,0.137441,0.119577,0.096178,0.104808
Mean_Household_Income,deaths_gini_rel,0.000000,-0.001955,0.003378,-0.255603,0.023231,0.011695,0.095534,-0.046855,-0.233369,-0.164576
EW_Ratio,deaths_gini_abs,0.120723,0.130801,0.128630,0.119144,0.092785,0.138833,0.127847,0.130045,0.105976,0.116249
EW_Ratio,deaths_gini_rel,0.000000,0.083484,0.065499,-0.013075,-0.231421,0.150013,0.059016,0.077224,-0.122151,-0.037059
Minority_Ratio,deaths_gini_abs,0.205993,0.204578,0.172002,0.204950,0.212619,0.179501,0.229915,0.211591,0.187090,0.170274
Minority_Ratio,deaths_gini_rel,0.000000,-0.006867,-0.165010,-0.005062,0.032169,-0.128605,0.116133,0.027178,-0.091767,-0.173401
