,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000034,0.000033,0.000032,0.000035,0.000032,0.000031,0.000031,0.000028,0.000027
All,deaths_total_rel,0.000000,-0.182609,-0.190499,-0.225926,-0.157488,-0.234138,-0.239452,-0.260064,-0.333172,-0.351047
Elder_Ratio,deaths_gini_abs,0.289647,0.290094,0.212786,0.293244,0.309846,0.289827,0.315554,0.284326,0.277988,0.300423
Elder_Ratio,deaths_gini_rel,0.000000,0.001542,-0.265361,0.012420,0.069737,0.000621,0.089443,-0.018370,-0.040252,0.037203
Mean_Household_Income,deaths_gini_abs,0.266604,0.254684,0.249448,0.167080,0.260366,0.231119,0.229606,0.215515,0.224240,0.226441
Mean_Household_Income,deaths_gini_rel,0.000000,-0.044710,-0.064352,-0.373303,-0.023397,-0.133100,-0.138777,-0.191630,-0.158903,-0.150646
EW_Ratio,deaths_gini_abs,0.086242,0.095644,0.073372,0.047739,0.045499,0.078133,0.083307,0.057178,0.054048,0.061706
EW_Ratio,deaths_gini_rel,0.000000,0.109013,-0.149237,-0.446451,-0.472431,-0.094022,-0.034029,-0.337002,-0.373303,-0.284507
Minority_Ratio,deaths_gini_abs,0.202691,0.179468,0.187147,0.160972,0.206361,0.093951,0.127743,0.133317,0.143108,0.147835
Minority_Ratio,deaths_gini_rel,0.000000,-0.114577,-0.076688,-0.205827,0.018105,-0.536484,-0.369767,-0.342264,-0.293963,-0.270642
