,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000250,0.000305,0.000228,0.000229,0.000237,0.000245,0.000229,0.000239,0.000188,0.000175
All,deaths_total_rel,0.000000,0.222958,-0.088259,-0.083140,-0.052334,-0.018384,-0.081851,-0.044413,-0.247144,-0.298926
Elder_Ratio,deaths_gini_abs,0.230737,0.228453,0.101643,0.216695,0.210976,0.243865,0.237035,0.227234,0.142451,0.131378
Elder_Ratio,deaths_gini_rel,0.000000,-0.009896,-0.559487,-0.060859,-0.085642,0.056897,0.027294,-0.015182,-0.382627,-0.430616
Mean_Household_Income,deaths_gini_abs,0.194009,0.203322,0.178773,0.071527,0.156056,0.133841,0.084268,0.094019,0.047144,0.175165
Mean_Household_Income,deaths_gini_rel,0.000000,0.048005,-0.078529,-0.631320,-0.195621,-0.310130,-0.565647,-0.515386,-0.757001,-0.097129
EW_Ratio,deaths_gini_abs,0.136592,0.143136,0.098572,0.044447,0.019654,0.108715,0.062658,0.077334,0.029071,0.163711
EW_Ratio,deaths_gini_rel,0.000000,0.047916,-0.278347,-0.674598,-0.856110,-0.204084,-0.541272,-0.433828,-0.787170,0.198544
Minority_Ratio,deaths_gini_abs,0.201638,0.203770,0.226229,0.119813,0.162563,0.106581,0.112562,0.110471,0.062102,0.228354
Minority_Ratio,deaths_gini_rel,0.000000,0.010574,0.121959,-0.405803,-0.193787,-0.471421,-0.441759,-0.452130,-0.692011,0.132496
