,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000211,0.000228,0.000192,0.000200,0.000211,0.000207,0.000223,0.000199,0.000158,0.000169
All,deaths_total_rel,0.000000,0.081774,-0.088003,-0.052768,-0.000944,-0.016737,0.056460,-0.057089,-0.251888,-0.198133
Elder_Ratio,deaths_gini_abs,0.294987,0.298448,0.210887,0.306110,0.274672,0.312085,0.301482,0.316110,0.224150,0.245481
Elder_Ratio,deaths_gini_rel,0.000000,0.011733,-0.285100,0.037707,-0.068869,0.057962,0.022018,0.071605,-0.240137,-0.167826
Mean_Household_Income,deaths_gini_abs,0.139139,0.126062,0.135275,0.062611,0.130802,0.105934,0.115037,0.080337,0.017160,0.118920
Mean_Household_Income,deaths_gini_rel,0.000000,-0.093985,-0.027773,-0.550009,-0.059919,-0.238648,-0.173223,-0.422614,-0.876673,-0.145321
EW_Ratio,deaths_gini_abs,0.127643,0.124095,0.087600,0.098481,0.072785,0.143528,0.124129,0.108155,0.043123,0.194516
EW_Ratio,deaths_gini_rel,0.000000,-0.027798,-0.313709,-0.228466,-0.429773,0.124451,-0.027525,-0.152675,-0.662155,0.523911
Minority_Ratio,deaths_gini_abs,0.128539,0.132576,0.179488,0.082464,0.131382,0.068635,0.115863,0.053759,0.035705,0.166043
Minority_Ratio,deaths_gini_rel,0.000000,0.031406,0.396367,-0.358456,0.022111,-0.466040,-0.098617,-0.581774,-0.722226,0.291766
