,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000160,0.000166,0.000157,0.000159,0.000160,0.000162,0.000158,0.000162,0.000153,0.000151
All,deaths_total_rel,0.000000,0.032123,-0.021290,-0.007264,-0.001190,0.006544,-0.017408,0.009048,-0.048121,-0.061302
Elder_Ratio,deaths_gini_abs,0.314245,0.313645,0.291615,0.311111,0.313738,0.306770,0.312016,0.316373,0.294656,0.294887
Elder_Ratio,deaths_gini_rel,0.000000,-0.001910,-0.072014,-0.009974,-0.001614,-0.023788,-0.007095,0.006770,-0.062337,-0.061602
Mean_Household_Income,deaths_gini_abs,0.067235,0.065102,0.071788,0.046377,0.065759,0.073086,0.052290,0.068700,0.050260,0.060390
Mean_Household_Income,deaths_gini_rel,0.000000,-0.031732,0.067717,-0.310232,-0.021963,0.087019,-0.222291,0.021778,-0.252469,-0.101809
EW_Ratio,deaths_gini_abs,0.034618,0.038579,0.034192,0.032377,0.023241,0.034166,0.040075,0.038687,0.020197,0.034062
EW_Ratio,deaths_gini_rel,0.000000,0.114406,-0.012309,-0.064746,-0.328649,-0.013078,0.157637,0.117526,-0.416576,-0.016076
Minority_Ratio,deaths_gini_abs,0.114874,0.112455,0.095223,0.108313,0.109376,0.097157,0.110100,0.113950,0.089333,0.100583
Minority_Ratio,deaths_gini_rel,0.000000,-0.021055,-0.171059,-0.057109,-0.047854,-0.154231,-0.041558,-0.008041,-0.222332,-0.124399
