,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000038,0.000041,0.000034,0.000033,0.000036,0.000035,0.000038,0.000035,0.000029,0.000031
All,deaths_total_rel,0.000000,0.090813,-0.107676,-0.122782,-0.043914,-0.085368,-0.002635,-0.083084,-0.232566,-0.172844
Elder_Ratio,deaths_gini_abs,0.300069,0.289647,0.221972,0.286152,0.315259,0.293412,0.296351,0.299256,0.269220,0.250882
Elder_Ratio,deaths_gini_rel,0.000000,-0.034732,-0.260264,-0.046378,0.050621,-0.022186,-0.012391,-0.002711,-0.102806,-0.163920
Mean_Household_Income,deaths_gini_abs,0.269603,0.266604,0.255724,0.188211,0.267687,0.243156,0.278168,0.227515,0.209381,0.230117
Mean_Household_Income,deaths_gini_rel,0.000000,-0.011125,-0.051482,-0.301899,-0.007109,-0.098097,0.031769,-0.156111,-0.223372,-0.146460
EW_Ratio,deaths_gini_abs,0.078646,0.086242,0.082472,0.063937,0.036453,0.083620,0.103534,0.064755,0.056269,0.061193
EW_Ratio,deaths_gini_rel,0.000000,0.096591,0.048651,-0.187024,-0.536485,0.063250,0.316460,-0.176619,-0.284530,-0.221909
Minority_Ratio,deaths_gini_abs,0.202019,0.202691,0.186127,0.174499,0.199266,0.132783,0.183843,0.156352,0.130726,0.201212
Minority_Ratio,deaths_gini_rel,0.000000,0.003331,-0.078663,-0.136224,-0.013624,-0.342720,-0.089969,-0.226053,-0.352899,-0.003993
