,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000096,0.000107,0.000088,0.000089,0.000095,0.000096,0.000099,0.000094,0.000080,0.000080
All,deaths_total_rel,0.000000,0.108364,-0.083635,-0.075473,-0.013728,-0.006089,0.030578,-0.025514,-0.167467,-0.173273
Elder_Ratio,deaths_gini_abs,0.234995,0.230873,0.128515,0.255064,0.240216,0.212796,0.241064,0.246544,0.145578,0.157311
Elder_Ratio,deaths_gini_rel,0.000000,-0.017541,-0.453119,0.085398,0.022214,-0.094469,0.025825,0.049143,-0.380509,-0.330577
Mean_Household_Income,deaths_gini_abs,0.110621,0.120154,0.143407,0.013098,0.117213,0.134006,0.074670,0.052002,0.097939,0.127725
Mean_Household_Income,deaths_gini_rel,0.000000,0.086183,0.296384,-0.881598,0.059592,0.211397,-0.324988,-0.529909,-0.114642,0.154625
EW_Ratio,deaths_gini_abs,0.061616,0.065892,0.062546,0.040640,0.009128,0.063345,0.055776,0.048118,0.032436,0.090059
EW_Ratio,deaths_gini_rel,0.000000,0.069413,0.015098,-0.340423,-0.851858,0.028069,-0.094771,-0.219061,-0.473567,0.461621
Minority_Ratio,deaths_gini_abs,0.056548,0.059840,0.049261,0.106937,0.042477,0.015562,0.068070,0.077939,0.032613,0.075729
Minority_Ratio,deaths_gini_rel,0.000000,0.058225,-0.128854,0.891092,-0.248837,-0.724807,0.203761,0.378275,-0.423267,0.339197
