,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000040,0.000040,0.000040,0.000040,0.000041,0.000040,0.000041,0.000037,0.000038
All,deaths_total_rel,0.000000,-0.031573,-0.040245,-0.032574,-0.035464,-0.010673,-0.023013,-0.007337,-0.099722,-0.087160
Elder_Ratio,deaths_gini_abs,0.316714,0.314602,0.285223,0.311074,0.321661,0.313979,0.312033,0.313106,0.293720,0.292263
Elder_Ratio,deaths_gini_rel,0.000000,-0.006668,-0.099428,-0.017806,0.015620,-0.008633,-0.014780,-0.011389,-0.072601,-0.077201
Mean_Household_Income,deaths_gini_abs,0.074212,0.082670,0.083041,0.051194,0.090801,0.077608,0.064718,0.074176,0.063493,0.080062
Mean_Household_Income,deaths_gini_rel,0.000000,0.113964,0.118967,-0.310166,0.223533,0.045761,-0.127941,-0.000488,-0.144437,0.078821
EW_Ratio,deaths_gini_abs,0.130472,0.125518,0.123819,0.126844,0.101274,0.126386,0.132712,0.123832,0.110516,0.111391
EW_Ratio,deaths_gini_rel,0.000000,-0.037969,-0.050996,-0.027808,-0.223788,-0.031322,0.017167,-0.050891,-0.152950,-0.146244
Minority_Ratio,deaths_gini_abs,0.109108,0.106281,0.091343,0.122807,0.096231,0.090328,0.129009,0.103791,0.096269,0.088680
Minority_Ratio,deaths_gini_rel,0.000000,-0.025909,-0.162816,0.125554,-0.118022,-0.172120,0.182404,-0.048731,-0.117670,-0.187225
