,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000038,0.000034,0.000038,0.000036,0.000038,0.000038,0.000039,0.000033,0.000031
All,deaths_total_rel,0.000000,-0.070372,-0.174875,-0.086826,-0.122624,-0.067593,-0.084714,-0.064147,-0.207337,-0.251140
Elder_Ratio,deaths_gini_abs,0.316714,0.319443,0.230007,0.323384,0.327545,0.306077,0.314162,0.318934,0.260599,0.287864
Elder_Ratio,deaths_gini_rel,0.000000,0.008617,-0.273769,0.021061,0.034198,-0.033583,-0.008055,0.007011,-0.177178,-0.091091
Mean_Household_Income,deaths_gini_abs,0.074212,0.078302,0.073040,0.036398,0.086371,0.082993,0.046746,0.071309,0.057104,0.076729
Mean_Household_Income,deaths_gini_rel,0.000000,0.055103,-0.015794,-0.509546,0.163841,0.118312,-0.370111,-0.039120,-0.230539,0.033909
EW_Ratio,deaths_gini_abs,0.130472,0.123005,0.110978,0.130041,0.065456,0.127099,0.122247,0.124665,0.077000,0.100999
EW_Ratio,deaths_gini_rel,0.000000,-0.057230,-0.149415,-0.003303,-0.498318,-0.025852,-0.063045,-0.044509,-0.409837,-0.225893
Minority_Ratio,deaths_gini_abs,0.109108,0.105067,0.089810,0.164693,0.102100,0.060108,0.171342,0.108640,0.094341,0.107932
Minority_Ratio,deaths_gini_rel,0.000000,-0.037033,-0.176872,0.509457,-0.064222,-0.449093,0.570393,-0.004284,-0.135336,-0.010774
