,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000038,0.000037,0.000035,0.000035,0.000035,0.000039,0.000034,0.000027,0.000031
All,deaths_total_rel,0.000000,-0.076973,-0.113849,-0.140097,-0.144444,-0.152818,-0.063446,-0.165539,-0.345250,-0.246216
Elder_Ratio,deaths_gini_abs,0.289647,0.293298,0.243453,0.310933,0.305901,0.279038,0.293053,0.308660,0.212637,0.230895
Elder_Ratio,deaths_gini_rel,0.000000,0.012605,-0.159483,0.073491,0.056117,-0.036627,0.011758,0.065640,-0.265876,-0.202841
Mean_Household_Income,deaths_gini_abs,0.266604,0.272568,0.280166,0.202759,0.261741,0.242696,0.275703,0.235784,0.155250,0.230026
Mean_Household_Income,deaths_gini_rel,0.000000,0.022369,0.050870,-0.239475,-0.018241,-0.089675,0.034130,-0.115604,-0.417676,-0.137199
EW_Ratio,deaths_gini_abs,0.086242,0.082332,0.105447,0.088506,0.041434,0.095022,0.113636,0.072644,0.028345,0.096523
EW_Ratio,deaths_gini_rel,0.000000,-0.045339,0.222688,0.026250,-0.519563,0.101805,0.317635,-0.157673,-0.671330,0.119209
Minority_Ratio,deaths_gini_abs,0.202691,0.199807,0.221786,0.181481,0.189780,0.134902,0.191015,0.144649,0.072268,0.254268
Minority_Ratio,deaths_gini_rel,0.000000,-0.014230,0.094206,-0.104646,-0.063702,-0.334449,-0.057608,-0.286360,-0.643457,0.254456
