,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000482,0.000498,0.000478,0.000450,0.000475,0.000477,0.000492,0.000472,0.000425,0.000450
All,deaths_total_rel,0.000000,0.034430,-0.008404,-0.066102,-0.014864,-0.009021,0.021345,-0.019668,-0.118451,-0.066421
Elder_Ratio,deaths_gini_abs,0.124951,0.130730,0.099703,0.137034,0.136744,0.138786,0.133656,0.137515,0.095028,0.090488
Elder_Ratio,deaths_gini_rel,0.000000,0.046250,-0.202065,0.096707,0.094385,0.110728,0.069669,0.100551,-0.239479,-0.275811
Mean_Household_Income,deaths_gini_abs,0.471205,0.469877,0.469257,0.436379,0.459144,0.463736,0.465965,0.454841,0.420869,0.477195
Mean_Household_Income,deaths_gini_rel,0.000000,-0.002818,-0.004133,-0.073908,-0.025595,-0.015850,-0.011120,-0.034728,-0.106823,0.012712
EW_Ratio,deaths_gini_abs,0.318166,0.319482,0.309091,0.275767,0.297119,0.319170,0.314439,0.300851,0.255782,0.352780
EW_Ratio,deaths_gini_rel,0.000000,0.004136,-0.028521,-0.133260,-0.066149,0.003156,-0.011713,-0.054420,-0.196073,0.108792
Minority_Ratio,deaths_gini_abs,0.410352,0.401303,0.406626,0.360784,0.391832,0.386131,0.394739,0.381631,0.348261,0.446527
Minority_Ratio,deaths_gini_rel,0.000000,-0.022050,-0.009079,-0.120794,-0.045133,-0.059024,-0.038047,-0.069990,-0.151311,0.088157
