,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000221,0.000228,0.000206,0.000214,0.000221,0.000219,0.000226,0.000216,0.000181,0.000195
All,deaths_total_rel,0.000000,0.030364,-0.071196,-0.032701,-0.002797,-0.012405,0.019857,-0.025550,-0.180347,-0.120398
Elder_Ratio,deaths_gini_abs,0.296202,0.298448,0.244464,0.305010,0.292003,0.302248,0.300777,0.306591,0.243179,0.258071
Elder_Ratio,deaths_gini_rel,0.000000,0.007583,-0.174671,0.029735,-0.014177,0.020412,0.015444,0.035074,-0.179010,-0.128735
Mean_Household_Income,deaths_gini_abs,0.130736,0.126062,0.123794,0.094089,0.119767,0.123955,0.120265,0.101119,0.038050,0.118008
Mean_Household_Income,deaths_gini_rel,0.000000,-0.035750,-0.053098,-0.280313,-0.083906,-0.051869,-0.080091,-0.226541,-0.708955,-0.097355
EW_Ratio,deaths_gini_abs,0.128215,0.124095,0.090748,0.108898,0.107226,0.135133,0.129582,0.113434,0.057984,0.171792
EW_Ratio,deaths_gini_rel,0.000000,-0.032136,-0.292222,-0.150662,-0.163699,0.053953,0.010664,-0.115283,-0.547763,0.339876
Minority_Ratio,deaths_gini_abs,0.128723,0.132576,0.168742,0.100864,0.125413,0.105357,0.126026,0.095687,0.049879,0.168952
Minority_Ratio,deaths_gini_rel,0.000000,0.029934,0.310894,-0.216428,-0.025719,-0.181522,-0.020956,-0.256643,-0.612507,0.312520
