,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000158,0.000166,0.000153,0.000156,0.000156,0.000159,0.000163,0.000160,0.000145,0.000144
All,deaths_total_rel,0.000000,0.045279,-0.033547,-0.016678,-0.012303,0.004978,0.027174,0.008339,-0.082789,-0.090209
Elder_Ratio,deaths_gini_abs,0.315792,0.313645,0.276902,0.308367,0.312090,0.301755,0.315527,0.311348,0.278125,0.291730
Elder_Ratio,deaths_gini_rel,0.000000,-0.006798,-0.123149,-0.023513,-0.011723,-0.044449,-0.000840,-0.014073,-0.119277,-0.076194
Mean_Household_Income,deaths_gini_abs,0.066034,0.065102,0.070567,0.040348,0.063392,0.075016,0.064558,0.069604,0.041385,0.060555
Mean_Household_Income,deaths_gini_rel,0.000000,-0.014120,0.068644,-0.388980,-0.040005,0.136018,-0.022347,0.054054,-0.373271,-0.082968
EW_Ratio,deaths_gini_abs,0.039705,0.038579,0.038575,0.032771,0.019566,0.036749,0.042795,0.039991,0.015204,0.034377
EW_Ratio,deaths_gini_rel,0.000000,-0.028361,-0.028459,-0.174645,-0.507203,-0.074452,0.077835,0.007216,-0.617081,-0.134183
Minority_Ratio,deaths_gini_abs,0.115905,0.112455,0.087422,0.107178,0.110649,0.086683,0.115520,0.110789,0.084814,0.095874
Minority_Ratio,deaths_gini_rel,0.000000,-0.029763,-0.245738,-0.075289,-0.045340,-0.252117,-0.003316,-0.044132,-0.268240,-0.172819
