,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000040,0.000040,0.000039,0.000039,0.000040,0.000041,0.000039,0.000037,0.000037
All,deaths_total_rel,0.000000,-0.021417,-0.026248,-0.052335,-0.047987,-0.034783,-0.011433,-0.053784,-0.108696,-0.106280
Elder_Ratio,deaths_gini_abs,0.289647,0.294969,0.272596,0.293574,0.299996,0.296446,0.291609,0.301823,0.280425,0.279883
Elder_Ratio,deaths_gini_rel,0.000000,0.018376,-0.058867,0.013558,0.035728,0.023473,0.006773,0.042038,-0.031837,-0.033711
Mean_Household_Income,deaths_gini_abs,0.266604,0.272360,0.268232,0.236854,0.262135,0.262615,0.271555,0.264008,0.240894,0.260363
Mean_Household_Income,deaths_gini_rel,0.000000,0.021589,0.006107,-0.111588,-0.016763,-0.014963,0.018571,-0.009738,-0.096437,-0.023410
EW_Ratio,deaths_gini_abs,0.086242,0.084051,0.094814,0.079393,0.059136,0.090795,0.097749,0.083655,0.051955,0.066245
EW_Ratio,deaths_gini_rel,0.000000,-0.025402,0.099391,-0.079412,-0.314307,0.052795,0.133421,-0.029997,-0.397572,-0.231877
Minority_Ratio,deaths_gini_abs,0.202691,0.207313,0.209594,0.193468,0.205397,0.189035,0.205808,0.196615,0.182261,0.204190
Minority_Ratio,deaths_gini_rel,0.000000,0.022800,0.034054,-0.045506,0.013346,-0.067376,0.015375,-0.029977,-0.100796,0.007394
