,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000219,0.000228,0.000211,0.000223,0.000220,0.000219
All,deaths_total_rel,0.000000,0.040487,-0.038550,0.018962,0.003046,-0.000948
Elder_Ratio,deaths_gini_abs,0.291747,0.298448,0.258821,0.298431,0.289503,0.303356
Elder_Ratio,deaths_gini_rel,0.000000,0.022969,-0.112859,0.022911,-0.007692,0.039792
Mean_Household_Income,deaths_gini_abs,0.138343,0.126062,0.149620,0.111038,0.133311,0.124175
Mean_Household_Income,deaths_gini_rel,0.000000,-0.088766,0.081517,-0.197366,-0.036367,-0.102412
EW_Ratio,deaths_gini_abs,0.130576,0.124095,0.112976,0.122122,0.104161,0.137398
EW_Ratio,deaths_gini_rel,0.000000,-0.049637,-0.134786,-0.064742,-0.202298,0.052241
Minority_Ratio,deaths_gini_abs,0.137497,0.132576,0.164677,0.122519,0.135362,0.107157
Minority_Ratio,deaths_gini_rel,0.000000,-0.035787,0.197675,-0.108934,-0.015526,-0.220659
