,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000087,0.000091,0.000084,0.000087,0.000085,0.000085
All,deaths_total_rel,0.000000,0.038592,-0.038698,-0.007156,-0.028043,-0.026346
Elder_Ratio,deaths_gini_abs,0.225807,0.228021,0.190570,0.231382,0.241987,0.211379
Elder_Ratio,deaths_gini_rel,0.000000,0.009804,-0.156047,0.024691,0.071656,-0.063894
Mean_Household_Income,deaths_gini_abs,0.034068,0.030010,0.033036,0.012035,0.037149,0.039845
Mean_Household_Income,deaths_gini_rel,0.000000,-0.119124,-0.030291,-0.646728,0.090413,0.169552
EW_Ratio,deaths_gini_abs,0.095730,0.093401,0.092884,0.090211,0.064591,0.092987
EW_Ratio,deaths_gini_rel,0.000000,-0.024327,-0.029726,-0.057650,-0.325280,-0.028655
Minority_Ratio,deaths_gini_abs,0.069574,0.077111,0.059854,0.084154,0.072775,0.043528
Minority_Ratio,deaths_gini_rel,0.000000,0.108326,-0.139717,0.209555,0.046010,-0.374361
