,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000081,0.000091,0.000074,0.000081,0.000078,0.000080,0.000082,0.000083,0.000068,0.000067
All,deaths_total_rel,0.000000,0.123975,-0.088061,0.000746,-0.037462,-0.004417,0.019907,0.025128,-0.154093,-0.169985
Elder_Ratio,deaths_gini_abs,0.233219,0.228021,0.118478,0.223385,0.247293,0.196939,0.228827,0.228411,0.146095,0.154440
Elder_Ratio,deaths_gini_rel,0.000000,-0.022289,-0.491987,-0.042167,0.060349,-0.155563,-0.018831,-0.020616,-0.373573,-0.337790
Mean_Household_Income,deaths_gini_abs,0.030310,0.030010,0.024728,0.011083,0.047352,0.051967,0.070669,0.034109,0.011933,0.027038
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009909,-0.184185,-0.634346,0.562242,0.714502,1.331505,0.125316,-0.606317,-0.107957
EW_Ratio,deaths_gini_abs,0.092472,0.093401,0.095754,0.105924,0.036667,0.091456,0.107392,0.099538,0.075982,0.087412
EW_Ratio,deaths_gini_rel,0.000000,0.010046,0.035489,0.145470,-0.603482,-0.010983,0.161347,0.076416,-0.178323,-0.054723
Minority_Ratio,deaths_gini_abs,0.071909,0.077111,0.041014,0.091092,0.092200,0.029520,0.131496,0.075473,0.033367,0.040570
Minority_Ratio,deaths_gini_rel,0.000000,0.072342,-0.429641,0.266772,0.282172,-0.589481,0.828637,0.049563,-0.535983,-0.435812
