,,Baseline,No_Vaccination,Age,Income,Occupation,Minority
All,deaths_total_abs,0.000284,0.000305,0.000272,0.000277,0.000279,0.000281
All,deaths_total_rel,0.000000,0.075251,-0.041409,-0.026703,-0.016499,-0.012415
Elder_Ratio,deaths_gini_abs,0.231327,0.228453,0.166532,0.225958,0.218077,0.236926
Elder_Ratio,deaths_gini_rel,0.000000,-0.012422,-0.280101,-0.023209,-0.057280,0.024205
Mean_Household_Income,deaths_gini_abs,0.205347,0.203322,0.199361,0.142332,0.184575,0.173600
Mean_Household_Income,deaths_gini_rel,0.000000,-0.009862,-0.029153,-0.306871,-0.101156,-0.154601
EW_Ratio,deaths_gini_abs,0.146793,0.143136,0.121066,0.093567,0.094505,0.129633
EW_Ratio,deaths_gini_rel,0.000000,-0.024909,-0.175261,-0.362589,-0.356201,-0.116897
Minority_Ratio,deaths_gini_abs,0.204444,0.203770,0.218713,0.151528,0.187535,0.161089
Minority_Ratio,deaths_gini_rel,0.000000,-0.003296,0.069796,-0.258825,-0.082708,-0.212061
