,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000498,0.000436,0.000424,0.000348,0.000377,0.000388,0.000366,0.000398,0.000354,0.000347
All,deaths_total_rel,0.000000,-0.124473,-0.149662,-0.301581,-0.242383,-0.220664,-0.265642,-0.201840,-0.288793,-0.304167
Elder_Ratio,deaths_gini_abs,0.130730,0.122420,0.028211,0.159314,0.136067,0.160077,0.165879,0.153953,0.104768,0.102142
Elder_Ratio,deaths_gini_rel,0.000000,-0.063560,-0.784201,0.218656,0.040829,0.224490,0.268867,0.177645,-0.198592,-0.218680
Mean_Household_Income,deaths_gini_abs,0.469877,0.461597,0.463238,0.337103,0.394479,0.404111,0.380655,0.407988,0.403459,0.437754
Mean_Household_Income,deaths_gini_rel,0.000000,-0.017621,-0.014130,-0.282571,-0.160463,-0.139965,-0.189883,-0.131713,-0.141352,-0.068364
EW_Ratio,deaths_gini_abs,0.319482,0.309308,0.303091,0.221234,0.181228,0.259227,0.246030,0.265545,0.255861,0.314659
EW_Ratio,deaths_gini_rel,0.000000,-0.031844,-0.051305,-0.307522,-0.432743,-0.188600,-0.229907,-0.168827,-0.199139,-0.015095
Minority_Ratio,deaths_gini_abs,0.401303,0.400261,0.417821,0.290413,0.326410,0.299859,0.310596,0.338900,0.349344,0.393799
Minority_Ratio,deaths_gini_rel,0.000000,-0.002598,0.041161,-0.276325,-0.186626,-0.252786,-0.226033,-0.155502,-0.129478,-0.018700
