,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000498,0.000474,0.000466,0.000424,0.000457,0.000469,0.000439,0.000455,0.000419,0.000429
All,deaths_total_rel,0.000000,-0.048041,-0.065434,-0.149364,-0.082657,-0.059427,-0.118705,-0.086834,-0.158383,-0.138226
Elder_Ratio,deaths_gini_abs,0.130730,0.123423,0.084898,0.139319,0.137449,0.146404,0.151131,0.142233,0.099556,0.080149
Elder_Ratio,deaths_gini_rel,0.000000,-0.055891,-0.350586,0.065700,0.051400,0.119895,0.156061,0.087991,-0.238462,-0.386913
Mean_Household_Income,deaths_gini_abs,0.469877,0.467796,0.470039,0.416000,0.452473,0.458664,0.430620,0.445106,0.429747,0.468394
Mean_Household_Income,deaths_gini_rel,0.000000,-0.004428,0.000344,-0.114661,-0.037039,-0.023863,-0.083547,-0.052718,-0.085406,-0.003155
EW_Ratio,deaths_gini_abs,0.319482,0.315675,0.311217,0.261847,0.282693,0.315015,0.280526,0.294557,0.272140,0.337878
EW_Ratio,deaths_gini_rel,0.000000,-0.011916,-0.025868,-0.180401,-0.115153,-0.013982,-0.121933,-0.078015,-0.148182,0.057581
Minority_Ratio,deaths_gini_abs,0.401303,0.404960,0.408889,0.343023,0.390710,0.378529,0.354628,0.369438,0.363407,0.428510
Minority_Ratio,deaths_gini_rel,0.000000,0.009113,0.018902,-0.145228,-0.026397,-0.056752,-0.116310,-0.079405,-0.094434,0.067797
