,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000078,0.000091,0.000071,0.000078,0.000075,0.000079,0.000078,0.000080,0.000065,0.000063
All,deaths_total_rel,0.000000,0.158604,-0.092312,0.001538,-0.047250,0.002602,-0.003785,0.022945,-0.169840,-0.200000
Elder_Ratio,deaths_gini_abs,0.227777,0.228021,0.097822,0.225886,0.247308,0.196048,0.235260,0.217926,0.136424,0.154756
Elder_Ratio,deaths_gini_rel,0.000000,0.001070,-0.570537,-0.008299,0.085745,-0.139299,0.032853,-0.043247,-0.401064,-0.320583
Mean_Household_Income,deaths_gini_abs,0.035778,0.030010,0.017890,0.013069,0.040381,0.055300,0.103013,0.040747,0.011072,0.027399
Mean_Household_Income,deaths_gini_rel,0.000000,-0.161212,-0.499983,-0.634705,0.128654,0.545648,1.879248,0.138877,-0.690534,-0.234181
EW_Ratio,deaths_gini_abs,0.086973,0.093401,0.104030,0.099951,0.017339,0.098423,0.108104,0.098755,0.073626,0.081843
EW_Ratio,deaths_gini_rel,0.000000,0.073910,0.196116,0.149216,-0.800642,0.131647,0.242961,0.135467,-0.153455,-0.058978
Minority_Ratio,deaths_gini_abs,0.073488,0.077111,0.043161,0.096978,0.099207,0.024120,0.151298,0.070359,0.034237,0.049104
Minority_Ratio,deaths_gini_rel,0.000000,0.049301,-0.412687,0.319648,0.349969,-0.671787,1.058815,-0.042583,-0.534117,-0.331807
