,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000043,0.000048,0.000038,0.000041,0.000041,0.000043,0.000044,0.000044,0.000037,0.000034
All,deaths_total_rel,0.000000,0.130119,-0.106493,-0.036227,-0.046552,-0.003938,0.021176,0.021701,-0.140357,-0.199072
Elder_Ratio,deaths_gini_abs,0.347161,0.341207,0.217267,0.330978,0.348873,0.308384,0.342730,0.344080,0.289760,0.289071
Elder_Ratio,deaths_gini_rel,0.000000,-0.017150,-0.374161,-0.046617,0.004931,-0.111697,-0.012763,-0.008876,-0.165345,-0.167328
Mean_Household_Income,deaths_gini_abs,0.121228,0.125455,0.100283,0.048742,0.105646,0.134353,0.146848,0.109819,0.095711,0.096346
Mean_Household_Income,deaths_gini_rel,0.000000,0.034867,-0.172780,-0.597933,-0.128540,0.108259,0.211335,-0.094112,-0.210492,-0.205256
EW_Ratio,deaths_gini_abs,0.129847,0.120723,0.128734,0.120182,0.049095,0.142254,0.128781,0.141317,0.104578,0.112041
EW_Ratio,deaths_gini_rel,0.000000,-0.070269,-0.008568,-0.074435,-0.621902,0.095550,-0.008206,0.088337,-0.194608,-0.137130
Minority_Ratio,deaths_gini_abs,0.214411,0.205993,0.162921,0.208504,0.210495,0.122484,0.250805,0.214147,0.190831,0.190218
Minority_Ratio,deaths_gini_rel,0.000000,-0.039261,-0.240147,-0.027548,-0.018263,-0.428743,0.169740,-0.001232,-0.109977,-0.112835
