,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000081,0.000076,0.000081,0.000080,0.000082,0.000082,0.000083,0.000071,0.000069
All,deaths_total_rel,0.000000,-0.103614,-0.166752,-0.104277,-0.113720,-0.097795,-0.096417,-0.081105,-0.220141,-0.242038
Elder_Ratio,deaths_gini_abs,0.228021,0.234378,0.132945,0.226709,0.253739,0.210827,0.225470,0.226253,0.148454,0.164680
Elder_Ratio,deaths_gini_rel,0.000000,0.027882,-0.416962,-0.005751,0.112790,-0.075405,-0.011187,-0.007754,-0.348945,-0.277787
Mean_Household_Income,deaths_gini_abs,0.030010,0.027309,0.018873,0.009776,0.043267,0.043423,0.070530,0.038791,0.022728,0.035593
Mean_Household_Income,deaths_gini_rel,0.000000,-0.090010,-0.371094,-0.674247,0.441735,0.446956,1.350197,0.292597,-0.242667,0.186020
EW_Ratio,deaths_gini_abs,0.093401,0.090258,0.092824,0.103170,0.043893,0.088343,0.101189,0.100506,0.069882,0.090479
EW_Ratio,deaths_gini_rel,0.000000,-0.033648,-0.006179,0.104590,-0.530054,-0.054149,0.083379,0.076067,-0.251811,-0.031283
Minority_Ratio,deaths_gini_abs,0.077111,0.077652,0.052689,0.088613,0.086681,0.037877,0.127177,0.076488,0.024471,0.040444
Minority_Ratio,deaths_gini_rel,0.000000,0.007019,-0.316709,0.149163,0.124100,-0.508801,0.649273,-0.008079,-0.682657,-0.475515
