,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000041,0.000040,0.000041,0.000039,0.000041,0.000040,0.000041,0.000038,0.000037
All,deaths_total_rel,0.000000,-0.002557,-0.030684,-0.009450,-0.043469,-0.007449,-0.019566,-0.008004,-0.087827,-0.097165
Elder_Ratio,deaths_gini_abs,0.316714,0.313123,0.298662,0.317758,0.332229,0.315152,0.305737,0.313539,0.280469,0.280610
Elder_Ratio,deaths_gini_rel,0.000000,-0.011337,-0.056996,0.003297,0.048988,-0.004930,-0.034659,-0.010023,-0.114440,-0.113995
Mean_Household_Income,deaths_gini_abs,0.074212,0.078622,0.079306,0.066197,0.090647,0.075918,0.061094,0.078512,0.072640,0.097891
Mean_Household_Income,deaths_gini_rel,0.000000,0.059425,0.068634,-0.108000,0.221455,0.022978,-0.176768,0.057942,-0.021185,0.319066
EW_Ratio,deaths_gini_abs,0.130472,0.125192,0.127697,0.128925,0.105152,0.128264,0.118834,0.127500,0.101182,0.104622
EW_Ratio,deaths_gini_rel,0.000000,-0.040467,-0.021270,-0.011861,-0.194066,-0.016922,-0.089198,-0.022783,-0.224495,-0.198130
Minority_Ratio,deaths_gini_abs,0.109108,0.106405,0.096302,0.116995,0.099718,0.099644,0.127835,0.104171,0.077662,0.079784
Minority_Ratio,deaths_gini_rel,0.000000,-0.024766,-0.117364,0.072288,-0.086060,-0.086735,0.171644,-0.045243,-0.288209,-0.268756
