,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000041,0.000040,0.000039,0.000039,0.000039,0.000041,0.000040,0.000040,0.000035,0.000035
All,deaths_total_rel,0.000000,-0.035131,-0.066259,-0.047471,-0.061701,-0.017565,-0.030906,-0.021790,-0.153863,-0.149750
Elder_Ratio,deaths_gini_abs,0.316714,0.311300,0.279516,0.318534,0.333230,0.312340,0.314201,0.317222,0.265192,0.278618
Elder_Ratio,deaths_gini_rel,0.000000,-0.017093,-0.117448,0.005747,0.052150,-0.013811,-0.007933,0.001606,-0.162677,-0.120282
Mean_Household_Income,deaths_gini_abs,0.074212,0.080172,0.070878,0.044421,0.090139,0.086497,0.049279,0.080661,0.050107,0.103500
Mean_Household_Income,deaths_gini_rel,0.000000,0.080310,-0.044928,-0.401433,0.214609,0.165535,-0.335978,0.086898,-0.324818,0.394640
EW_Ratio,deaths_gini_abs,0.130472,0.121889,0.121504,0.128987,0.090485,0.127818,0.125444,0.129377,0.093504,0.117197
EW_Ratio,deaths_gini_rel,0.000000,-0.065788,-0.068734,-0.011383,-0.306478,-0.020342,-0.038541,-0.008395,-0.283343,-0.101751
Minority_Ratio,deaths_gini_abs,0.109108,0.103178,0.095446,0.132310,0.101558,0.079623,0.135141,0.102868,0.090086,0.066653
Minority_Ratio,deaths_gini_rel,0.000000,-0.054351,-0.125210,0.212655,-0.069192,-0.270235,0.238605,-0.057192,-0.174336,-0.389110
