,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000166,0.000154,0.000141,0.000149,0.000150,0.000153,0.000149,0.000155,0.000137,0.000131
All,deaths_total_rel,0.000000,-0.071559,-0.147243,-0.100133,-0.091458,-0.073834,-0.101286,-0.065947,-0.170084,-0.206849
Elder_Ratio,deaths_gini_abs,0.313645,0.309493,0.234061,0.312386,0.319580,0.299520,0.315104,0.307452,0.276307,0.296016
Elder_Ratio,deaths_gini_rel,0.000000,-0.013238,-0.253740,-0.004015,0.018921,-0.045036,0.004650,-0.019745,-0.119047,-0.056208
Mean_Household_Income,deaths_gini_abs,0.065102,0.064992,0.060045,0.025187,0.058374,0.070847,0.068456,0.069767,0.043301,0.061182
Mean_Household_Income,deaths_gini_rel,0.000000,-0.001688,-0.077674,-0.613118,-0.103343,0.088243,0.051528,0.071665,-0.334877,-0.060211
EW_Ratio,deaths_gini_abs,0.038579,0.040061,0.044009,0.031268,0.016306,0.037251,0.043538,0.043650,0.016104,0.044387
EW_Ratio,deaths_gini_rel,0.000000,0.038406,0.140754,-0.189507,-0.577324,-0.034409,0.128537,0.131450,-0.582569,0.150562
Minority_Ratio,deaths_gini_abs,0.112455,0.112610,0.077666,0.103698,0.112684,0.071695,0.130829,0.107542,0.077200,0.096033
Minority_Ratio,deaths_gini_rel,0.000000,0.001375,-0.309355,-0.077870,0.002040,-0.362454,0.163389,-0.043685,-0.313501,-0.146030
