,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000228,0.000172,0.000166,0.000158,0.000163,0.000160,0.000148,0.000155,0.000116,0.000105
All,deaths_total_rel,0.000000,-0.244654,-0.272359,-0.307548,-0.284515,-0.299405,-0.351907,-0.321604,-0.492681,-0.539115
Elder_Ratio,deaths_gini_abs,0.298448,0.307416,0.166952,0.313765,0.275992,0.318363,0.316912,0.328301,0.243447,0.311885
Elder_Ratio,deaths_gini_rel,0.000000,0.030046,-0.440599,0.051320,-0.075242,0.066727,0.061864,0.100025,-0.184290,0.045021
Mean_Household_Income,deaths_gini_abs,0.126062,0.123205,0.138553,0.011503,0.085622,0.065884,0.070693,0.070257,0.043743,0.082482
Mean_Household_Income,deaths_gini_rel,0.000000,-0.022666,0.099085,-0.908752,-0.320798,-0.477371,-0.439225,-0.442677,-0.653008,-0.345708
EW_Ratio,deaths_gini_abs,0.124095,0.137292,0.098191,0.096809,0.006172,0.115126,0.114501,0.120686,0.100695,0.140304
EW_Ratio,deaths_gini_rel,0.000000,0.106353,-0.208743,-0.219879,-0.950267,-0.072272,-0.077311,-0.027470,-0.188560,0.130622
Minority_Ratio,deaths_gini_abs,0.132576,0.115963,0.160884,0.042619,0.099241,0.054064,0.044736,0.052357,0.040077,0.068185
Minority_Ratio,deaths_gini_rel,0.000000,-0.125313,0.213522,-0.678529,-0.251443,-0.592203,-0.662566,-0.605083,-0.697704,-0.485691
