,,Baseline,No_Vaccination,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000104,0.000107,0.000099,0.000100,0.000102,0.000104,0.000101,0.000102,0.000097,0.000096
All,deaths_total_rel,0.000000,0.029517,-0.041276,-0.034079,-0.011738,0.000710,-0.028808,-0.014434,-0.062643,-0.072962
Elder_Ratio,deaths_gini_abs,0.236334,0.230873,0.191429,0.246262,0.232383,0.221854,0.242258,0.240152,0.205829,0.203276
Elder_Ratio,deaths_gini_rel,0.000000,-0.023105,-0.190008,0.042007,-0.016720,-0.061267,0.025066,0.016154,-0.129074,-0.139877
Mean_Household_Income,deaths_gini_abs,0.115160,0.120154,0.122382,0.070240,0.112732,0.129361,0.077568,0.086892,0.094562,0.117414
Mean_Household_Income,deaths_gini_rel,0.000000,0.043366,0.062708,-0.390065,-0.021083,0.123314,-0.326437,-0.245466,-0.178865,0.019575
EW_Ratio,deaths_gini_abs,0.063100,0.065892,0.059163,0.049121,0.034139,0.063775,0.049277,0.052586,0.039947,0.072982
EW_Ratio,deaths_gini_rel,0.000000,0.044259,-0.062382,-0.221527,-0.458964,0.010706,-0.219068,-0.166617,-0.366922,0.156606
Minority_Ratio,deaths_gini_abs,0.057365,0.059840,0.048135,0.062648,0.048350,0.034974,0.061457,0.055984,0.043222,0.060654
Minority_Ratio,deaths_gini_rel,0.000000,0.043144,-0.160902,0.092079,-0.157157,-0.390337,0.071325,-0.024083,-0.246552,0.057329
