,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000091,0.000088,0.000083,0.000087,0.000085,0.000087,0.000087,0.000088,0.000082,0.000082
All,deaths_total_rel,0.000000,-0.036188,-0.083299,-0.038485,-0.060229,-0.039863,-0.045223,-0.028838,-0.095600,-0.094528
Elder_Ratio,deaths_gini_abs,0.228021,0.232413,0.186079,0.225775,0.239199,0.224328,0.228888,0.221395,0.197048,0.194816
Elder_Ratio,deaths_gini_rel,0.000000,0.019264,-0.183936,-0.009851,0.049023,-0.016197,0.003805,-0.029058,-0.135833,-0.145620
Mean_Household_Income,deaths_gini_abs,0.030010,0.027561,0.030359,0.008432,0.034327,0.040355,0.036206,0.032406,0.019198,0.028486
Mean_Household_Income,deaths_gini_rel,0.000000,-0.081618,0.011618,-0.719017,0.143839,0.344706,0.206470,0.079826,-0.360291,-0.050798
EW_Ratio,deaths_gini_abs,0.093401,0.092459,0.094429,0.097540,0.065299,0.096023,0.093039,0.092791,0.078859,0.092458
EW_Ratio,deaths_gini_rel,0.000000,-0.010082,0.011009,0.044312,-0.300871,0.028069,-0.003873,-0.006525,-0.155696,-0.010092
Minority_Ratio,deaths_gini_abs,0.077111,0.077883,0.067950,0.083837,0.080436,0.060317,0.100445,0.072633,0.063280,0.054513
Minority_Ratio,deaths_gini_rel,0.000000,0.010016,-0.118798,0.087226,0.043116,-0.217787,0.302607,-0.058067,-0.179360,-0.293061
