,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000166,0.000161,0.000155,0.000158,0.000161,0.000161,0.000156,0.000162,0.000149,0.000146
All,deaths_total_rel,0.000000,-0.029273,-0.065522,-0.043317,-0.027999,-0.029667,-0.057271,-0.024025,-0.100649,-0.117667
Elder_Ratio,deaths_gini_abs,0.313645,0.316324,0.284951,0.312530,0.311793,0.303089,0.310993,0.317382,0.283612,0.284596
Elder_Ratio,deaths_gini_rel,0.000000,0.008539,-0.091487,-0.003554,-0.005904,-0.033657,-0.008457,0.011915,-0.095756,-0.092617
Mean_Household_Income,deaths_gini_abs,0.065102,0.068531,0.070845,0.040037,0.067162,0.073895,0.056386,0.066978,0.044661,0.060513
Mean_Household_Income,deaths_gini_rel,0.000000,0.052681,0.088222,-0.385015,0.031651,0.135067,-0.133876,0.028825,-0.313989,-0.070483
EW_Ratio,deaths_gini_abs,0.038579,0.039383,0.039578,0.033174,0.028273,0.035510,0.037218,0.039953,0.016053,0.040994
EW_Ratio,deaths_gini_rel,0.000000,0.020839,0.025907,-0.140104,-0.267141,-0.079536,-0.035287,0.035615,-0.583886,0.062592
Minority_Ratio,deaths_gini_abs,0.112455,0.114881,0.093950,0.106111,0.110733,0.091396,0.107806,0.118618,0.074417,0.101251
Minority_Ratio,deaths_gini_rel,0.000000,0.021573,-0.164551,-0.056414,-0.015309,-0.187265,-0.041343,0.054804,-0.338246,-0.099634
