,,No_Vaccination,Baseline,Age,Income,Occupation,Minority,SVI,SVI_new,Hybrid,Hybrid_Ablation
All,deaths_total_abs,0.000228,0.000220,0.000210,0.000213,0.000220,0.000219,0.000210,0.000215,0.000198,0.000200
All,deaths_total_rel,0.000000,-0.034413,-0.079645,-0.064387,-0.037263,-0.038659,-0.077784,-0.058260,-0.133039,-0.124178
Elder_Ratio,deaths_gini_abs,0.298448,0.298006,0.251401,0.302201,0.287537,0.305980,0.310327,0.306722,0.272599,0.274286
Elder_Ratio,deaths_gini_rel,0.000000,-0.001482,-0.157639,0.012575,-0.036561,0.025237,0.039800,0.027721,-0.086612,-0.080961
Mean_Household_Income,deaths_gini_abs,0.126062,0.126702,0.123574,0.088653,0.124373,0.114119,0.090317,0.099308,0.075003,0.124196
Mean_Household_Income,deaths_gini_rel,0.000000,0.005074,-0.019742,-0.296755,-0.013403,-0.094745,-0.283555,-0.212233,-0.405034,-0.014807
EW_Ratio,deaths_gini_abs,0.124095,0.122571,0.105310,0.113552,0.097495,0.131175,0.113313,0.116245,0.087980,0.150880
EW_Ratio,deaths_gini_rel,0.000000,-0.012274,-0.151372,-0.084954,-0.214347,0.057058,-0.086880,-0.063256,-0.291029,0.215848
Minority_Ratio,deaths_gini_abs,0.132576,0.128200,0.152692,0.101881,0.129560,0.103280,0.084318,0.102093,0.088097,0.150516
Minority_Ratio,deaths_gini_rel,0.000000,-0.033009,0.151727,-0.231531,-0.022749,-0.220974,-0.364006,-0.229926,-0.335502,0.135317
